,features
VEGFA_ITGA9,0.0
CSF2_ITGA9,0.0
ADAM15_ITGA9,0.0
FN1_ITGA9,0.0
OSTN_NPR3,0.0
VIP_NPR3,0.0
NPPA_NPR3,0.0
AGT_ENPEP,0.0
VEGFB_NRP1,0.0
SEMA3D_NRP1,0.0
SEMA3B_NRP1,0.0
FN1_ITGB7,0.0
NRG3_ERBB3,0.0
NRG1_ERBB3,0.0
TGFA_ERBB2,0.0
HSP90AA1_ERBB2,0.0
BTC_ERBB2,0.0
IFNA5_IFNAR1,0.0
IFNB1_IFNAR1,0.0
IFNE_IFNAR1,0.0
MMP9_IFNAR1,0.0
IL24_IL22RA1,0.0
TNF_CELSR2,0.0
SYK_FCGR2A,0.0
CXCL9_FCGR2A,0.0
PTHLH_PTH2R,0.0
CALM1_PTH2R,0.0
CXCL12_ACKR3,0.0
CXCL11_ACKR3,0.0
NRTN_GFRA3,0.0
GDNF_GFRA3,0.0
ARTN_GFRA3,0.0
NRG2_ERBB2,0.0
L1CAM_ERBB2,0.0
AREG_ERBB3,0.0
HSP90B1_ERBB2,0.0
L1CAM_ERBB3,0.0
TGFA_ERBB3,0.0
NRG2_ERBB3,0.0
BTC_ERBB3,0.0
GPC3_IGF1R,0.0
IGF2_IGF1R,0.0
GNAI2_IGF1R,0.0
IGF1_IGF1R,0.0
CAMP_IGF1R,0.0
HSP90B1_ASGR1,0.0
HP_ASGR1,0.0
S100A4_ERBB2,0.0
NRG3_ERBB2,0.0
SEMA4D_ERBB2,0.0
NRG1_ERBB2,0.0
HLA-A_ERBB2,0.0
NRG4_ERBB2,0.0
PLG_ITGA9,0.0
TNC_ITGA9,0.0
CALM1_KCNN4,0.0
CD34_SELP,0.0
BMP7_ACVR1,0.0
INHBB_ACVR1,0.0
BMP2_ACVR1,0.0
BMP6_ACVR1,0.0
TGFB2_ACVR1,0.0
GPC3_CD81,0.0
CD99_CD81,0.0
VCAN_SELP,0.0
SERPING1_SELP,0.0
RTN4_CNTNAP1,0.0
GAS6_TYRO3,0.0
PROS1_TYRO3,0.0
VEGFA_TYRO3,0.0
MDK_LRP2,0.0
PLAU_LRP2,0.0
LRPAP1_LRP2,0.0
ARPC5_LRP2,0.0
AGT_LRP2,0.0
INHBC_ACVR1,0.0
PCSK9_APLP2,0.0
HLA-A_APLP2,0.0
APP_APLP2,0.0
ASIP_ATRN,0.0
GNAI2_S1PR4,0.0
ARF1_PLD2,0.0
EGF_PLD2,0.0
HRAS_GRIN2D,0.0
IL16_GRIN2D,0.0
HSPA1A_GRIN2D,0.0
IL27_IL27RA,0.0
DLK1_NOTCH3,0.0
DLL1_NOTCH3,0.0
PSEN1_NOTCH3,0.0
THBS2_NOTCH3,0.0
SCGB3A1_NOTCH3,0.0
JAG2_NOTCH3,0.0
CTF1_LIFR,0.0
CLCF1_LIFR,0.0
CNTF_LIFR,0.0
ALB_LRP2,0.0
APOA2_LRP2,0.0
AGRN_LRP2,0.0
CXCL8_KDR,0.0
VEGFA_KDR,0.0
TNFSF12_TNFRSF8,0.0
AFDN_NECTIN1,0.0
WNT5A_MCAM,0.0
LAMA1_GPC1,0.0
BMP2_GPC1,0.0
SLIT1_GPC1,0.0
NRG1_GPC1,0.0
APP_GPC1,0.0
SERPINC1_GPC1,0.0
COL18A1_GPC1,0.0
SLIT2_GPC1,0.0
SHH_GPC1,0.0
VEGFA_GPC1,0.0
CD274_CD80,0.0
IL18_IL1RL2,0.0
IL18_IL18RAP,0.0
COL18A1_KDR,0.0
SEMA6D_KDR,0.0
GPC3_LRP2,0.0
TIMP3_KDR,0.0
TF_LRP2,0.0
LPA_LRP2,0.0
EGF_LRP2,0.0
CUBN_LRP2,0.0
HSPA8_LRP2,0.0
APOC2_LRP2,0.0
HSPG2_LRP2,0.0
LPL_LRP2,0.0
WNT5A_LRP2,0.0
SHH_LRP2,0.0
LCN2_LRP2,0.0
ACTR2_LRP2,0.0
LEP_LRP2,0.0
PDGFC_KDR,0.0
VEGFC_KDR,0.0
GREM1_KDR,0.0
VEGFD_KDR,0.0
IGFL2_IGFLR1,0.0
COL4A2_CD93,0.0
C1QA_CD93,0.0
LAMA2_ITGA7,0.0
CCL24_ACKR2,0.0
HRAS_AGTR1,0.0
GDNF_GFRA2,0.0
HLA-G_KLRC1,0.0
EFNA4_EPHA5,0.0
ICAM2_ITGAM,0.0
LRPAP1_LDLR,0.0
HSPA8_LDLR,0.0
ADM_ADCYAP1R1,0.0
ADM_TSHR,0.0
ADM_GPR84,0.0
PTHLH_ADCYAP1R1,0.0
PTHLH_GPR84,0.0
ADCYAP1_ADCYAP1R1,0.0
S100A10_CFTR,0.0
SHANK2_CFTR,0.0
HSP90AA1_CFTR,0.0
CCL24_CCR3,0.0
FGF16_FGFR2,0.0
LAMA3_ITGA3,0.0
HLA-B_CD3G,0.0
POMC_TSHR,0.0
FBLN2_ITGB3,0.0
NXPH1_NRXN1,0.0
NXPH1_NRXN3,0.0
SAA1_FPR2,0.0
SAA1_FPR1,0.0
MDK_ITGA6,0.0
TF_LDLR,0.0
TF_TFR2,0.0
TF_HFE,0.0
ARTN_GFRA2,0.0
PTPN6_CD300LF,0.0
APLN_APLNR,0.0
NLGN1_NRXN3,0.0
C4A_C5AR2,0.0
NTF3_NTRK1,0.0
TNF_FFAR2,0.0
PLAU_ITGA3,0.0
LAMA4_ITGA3,0.0
POMC_MC1R,0.0
APP_CD74,0.0
CXCL12_CD4,0.0
SLPI_CD4,0.0
PIP_CD4,0.0
IL16_CD4,0.0
CPAMD8_SCTR,0.0
ADCYAP1_SCTR,0.0
VIP_SCTR,0.0
CALM1_SCTR,0.0
RTN4_RTN4R,0.0
OMG_RTN4R,0.0
TNFSF13_TNFRSF17,0.0
TNFSF13B_TNFRSF17,0.0
CD70_TNFRSF17,0.0
ST6GAL1_CD22,0.0
HP_CD22,0.0
CALM2_KCNQ1,0.0
CALM1_KCNQ1,0.0
HLA-G_CD4,0.0
S100A4_PGLYRP1,0.0
LAMA2_ITGA3,0.0
FN1_ITGA3,0.0
LAMA1_ITGA3,0.0
NID1_ITGA3,0.0
LAMC3_ITGA3,0.0
THBS1_ITGA3,0.0
CALR_ITGA3,0.0
TIMP2_ITGA3,0.0
RELN_ITGA3,0.0
LAMB2_ITGA3,0.0
COL4A3_ITGA3,0.0
LAMA5_ITGA3,0.0
ADAM9_ITGA3,0.0
LAMC1_ITGA3,0.0
LAMB3_ITGA3,0.0
COL18A1_ITGA3,0.0
VTN_ITGA3,0.0
LAMB1_ITGA3,0.0
LAMC2_ITGA3,0.0
POMC_GPR84,0.0
POMC_ADCYAP1R1,0.0
FASLG_TNFRSF1A,0.0
ACTR2_LDLR,0.0
NDP_LGR4,0.0
CCL7_CCR3,0.0
CCL7_ACKR2,0.0
GDF9_BMPR1B,0.0
BMP2_BMPR1B,0.0
AGRN_ITGB1,0.0
AGRN_ATP1A3,0.0
INSL3_ADCYAP1R1,0.0
INSL3_TSHR,0.0
INSL3_GPR84,0.0
INSL3_RXFP1,0.0
SHBG_CLDN4,0.0
COL2A1_ITGB1,0.0
COL2A1_MAG,0.0
COL2A1_DDR1,0.0
RLN2_ADCYAP1R1,0.0
RLN2_TSHR,0.0
NDP_FZD4,0.0
ANXA1_DYSF,0.0
RLN2_RXFP1,0.0
ANXA1_FPR1,0.0
HSPG2_FGFR1,0.0
COL5A2_ITGB1,0.0
COL5A2_DDR1,0.0
F10_ITGAM,0.0
F10_ITGB2,0.0
SYK_LAT,0.0
COL4A1_ITGB1,0.0
FGF14_FGFR2,0.0
FGF14_FGFR1,0.0
HLA-C_LILRB2,0.0
HLA-C_CD3G,0.0
HLA-C_KIR3DL1,0.0
HLA-E_KLRC2,0.0
HLA-E_KLRD1,0.0
HLA-E_KIR3DL1,0.0
HLA-E_KLRC1,0.0
ANXA1_FPR2,0.0
RLN2_GPR84,0.0
ZG16B_TLR5,0.0
DSCAM_DCC,0.0
SPP1_CD44,0.0
SPP1_ITGB3,0.0
LGALS9_CD44,0.0
LGALS9_SLC1A5,0.0
ADM2_ADCYAP1R1,0.0
ADM2_CALCRL,0.0
ADM2_TSHR,0.0
ADM2_GPR84,0.0
CXCL12_ITGB1,0.0
CXCL12_CXCR4,0.0
BMP7_BMPR1B,0.0
COL4A3_ITGB3,0.0
COL4A4_ITGB3,0.0
HLA-A_CD3G,0.0
CNTN4_PTPRG,0.0
TCTN1_TMEM67,0.0
PDCD1LG2_PDCD2,0.0
TNFSF11_TNFRSF11A,0.0
SPP1_ITGB1,0.0
SPP1_ITGA4,0.0
ZG16B_CXCR4,0.0
CCL26_CCR3,0.0
FGF9_FGFR2,0.0
FGF9_FGFR1,0.0
SEMA5A_PLXNB3,0.0
RPH3A_NRXN1,0.0
LAMA1_ITGA6,0.0
LAMA1_ITGA7,0.0
LAMA1_ITGB1,0.0
CCL25_ACKR2,0.0
LAMB3_CD151,0.0
LAMB3_ITGB1,0.0
